,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
0,2017-144-14,"David Lebe, American, born 1948",© David Lebe,"Gift of the artist, 2017","Prints, Drawings, and Photographs",1974 (negative); 2016 (print),"Image: 4 × 19 15/16 inches (10.2 × 50.6 cm)
Sheet: 8 1/2 × 25 inches (21.6 × 63.5 cm)","Photograph taken in Philadelphia, Pennsylvania, United States, North and Central America",340698,Currently not on view,Pigment print,,"Behind the Art Museum: Philadelphia, 1974",http://www.philamuseum.org/collections/permanent/340698.html
1,2013-150-90,"Ruth Thorne-Thomsen, American, born 1943","Courtesy Schmidt-Dean Gallery, Philadelphia PA and the artist","Gift of Ray K. Metzker and Ruth Thorne-Thomsen, 2013","Prints, Drawings, and Photographs",1983,"Image (irregular): 3 3/8 × 3 7/8 inches (8.6 × 9.8 cm)
Sheet: 4 1/4 × 5 inches (10.8 × 12.7 cm)","Photograph taken in Door County, Wisconsin, United States, North and Central America",327603,Currently not on view,"Gelatin silver print, toned",From the series Door,"Columns, Wisconsin",http://www.philamuseum.org/collections/permanent/327603.html
2,1980-3-4,"Fiske Boyd, American, 1895 - 1975",Research inconclusive. Copyright may apply.,"Purchased with the Lola Downin Peck Fund from the Carl and Laura Zigrosser Collection, 1980","Prints, Drawings, and Photographs",1944,"Image: 11 5/8 x 7 inches (29.5 x 17.8 cm)
Sheet: 14 5/8 x 10 1/2 inches (37.1 x 26.7cm)","Made in United States, North and Central America",74210,Currently not on view,Woodcut,,Susanna,http://www.philamuseum.org/collections/permanent/74210.html
3,1971-117-37(591),"Edward S. Curtis, American, 1868 - 1952. Printed by Suffolk Engraving & Electrotyping Co., Cambridge.",,"Purchased with funds contributed by the American Museum of Photography, 1971","Prints, Drawings, and Photographs",1905,"Image: 11 5/8 x 15 11/16 inches (29.5 x 39.8 cm)
Sheet: 17 7/8 x 21 7/8 inches (45.4 x 55.6 cm)","Photograph taken in United States, North and Central America",265342,Currently not on view,Photogravure,"Plate 591 from The North American Indian, Supplementary Portfolio 17",In the Gray Morning - San Ildefonso,http://www.philamuseum.org/collections/permanent/265342.html
4,1966-137-1,"Adrian Siegel, American, 1898 - 1978",Research inconclusive. Copyright may apply.,"Gift of Mr. and Mrs. Adrian Siegel, 1966","Prints, Drawings, and Photographs",Mid- 20th century,Image/Sheet/Mount: 10 × 8 inches (25.4 × 20.3 cm),"Photograph taken in United States, North and Central America",194303,Currently not on view,Gelatin silver print,,"The Role, not the Personality",http://www.philamuseum.org/collections/permanent/194303.html
5,2011-123-1,"Yuichi Chiba, Japanese, born 1971",,"Gift of John J. Medveckis, 2011",East Asian Art,2011,3 7/16 × 4 15/16 inches (8.7 × 12.5 cm),"Made in Japan, Asia Period: Heisei Period (1989-present)",319935,Currently not on view,Stoneware,,Teabowl,http://www.philamuseum.org/collections/permanent/319935.html
6,1968-184-19,"Artist/maker unknown, Indian",,"Gift of Stella Kramrisch, 1968",South Asian Art,c. 1925-1950,"Image: 9 7/16 × 7 15/16 inches (24 × 20.2 cm)
Sheet: 10 3/4 × 9 inches (27.3 × 22.9 cm)","Made in West Bengal, Bengal Region, India, Asia",106661,Currently not on view,Opaque watercolor on paper,,Ritual Eye-Bestowing Painting (Chakshudana Pata),http://www.philamuseum.org/collections/permanent/106661.html
7,1985-52-10143,"Heinrich Ulrich, German, c. 1570 - 1621. After Albrecht Dürer, German, 1471 - 1528.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Late 16th - early 17th century,Sheet: 6 15/16 x 4 5/16 inches (17.7 x 10.9 cm),"Made in Germany, Europe",12195,Currently not on view,Engraving,,Portrait of Willibald Pirckheimer,http://www.philamuseum.org/collections/permanent/12195.html
8,2001-62-525,"Samuel Gottscho, American, 1875 - 1971",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",c. 1930-1932,Image and sheet: 9 5/16 x 13 5/16 inches (23.7 x 33.8 cm),"Photograph taken in New York, New York, United States, North and Central America",109552,Currently not on view,Gelatin silver print,,Untitled (Lower Manhattan Skyline),http://www.philamuseum.org/collections/permanent/109552.html
9,2017-219-41(4),"Joseph Pennell, American, 1857 - 1926. Printed by Frederick Goulding, British, 1842 - 1909. Published by The Society of Iconophiles, New York.",,"Gift of Fern and Hersh Cohen, 2017","Prints, Drawings, and Photographs",1904 (print); 1905 (publication),"Image: 10 11/16 × 5 1/2 inches (27.2 × 14 cm)
Sheet: 12 7/8 × 8 3/8 inches (32.7 × 21.2 cm)
Mount: 17 1/8 × 11 5/8 inches (43.5 × 29.6 cm)","Published in New York, New York, United States, North and Central America Made in London, England, Europe",341586,Currently not on view,Lithograph,From the portfolio Lithographs of New York in 1904,The Stock Exchange,http://www.philamuseum.org/collections/permanent/341586.html
